TIMESTAMP NumOperacao IdServidorNegocio TipoOperacao Conta Valor 
2022-05-22 22:08:27.758372 1 1 getLock 1 0 
2022-05-22 22:08:27.762651 2 1 getLock 1 0 
2022-05-22 22:08:27.766255 3 1 getSaldo 1 1000.0 
2022-05-22 22:08:27.770009 4 1 unLock 1 0 
2022-05-22 22:10:01.801580 5 1 getLock 1 0 
2022-05-22 22:10:01.812074 6 1 getLock 1 0 
2022-05-22 22:10:01.819359 7 1 setSaldo 1 1020.0 
2022-05-22 22:10:01.823000 8 1 unLock 1 0 
2022-05-22 22:11:00.606464 9 1 getLock 1 0 
2022-05-22 22:11:00.617660 10 1 getLock 1 0 
2022-05-22 22:11:00.632332 11 1 unLock 1 0 
2022-05-22 22:11:53.198856 12 1 getLock 1 0 
2022-05-22 22:11:53.209565 13 1 getLock 1 0 
2022-05-22 22:11:53.217373 14 1 setSaldo 1 20.0 
2022-05-22 22:11:53.221236 15 1 unLock 1 0 
2022-05-22 22:12:34.391813 16 1 getLock 2 0 
2022-05-22 22:12:34.403546 17 1 getLock 2 0 
2022-05-22 22:13:55.642986 18 1 getLock 1 0 
2022-05-22 22:13:55.650996 19 1 getLock 1 0 
2022-05-22 22:13:55.658421 20 1 getLock 2 0 
2022-05-22 22:13:55.663228 21 1 getLock 2 0 
2022-05-22 22:13:55.669310 22 1 getLock 1 0 
2022-05-22 22:13:55.673035 23 1 getLock 1 0 
2022-05-22 22:13:55.681451 24 1 unLock 1 0 
2022-05-22 22:14:45.637070 25 1 getLock 2 0 
2022-05-22 22:14:45.648209 26 1 getLock 2 0 
2022-05-22 22:14:45.655279 27 1 getLock 1 0 
2022-05-22 22:14:45.659057 28 1 getLock 1 0 
2022-05-22 22:14:45.662305 29 1 getLock 2 0 
2022-05-22 22:14:45.665475 30 1 getLock 2 0 
2022-05-22 22:14:45.668663 31 1 setSaldo 2 500.0 
2022-05-22 22:14:45.672056 32 1 unLock 2 0 
2022-05-22 22:14:45.675941 33 1 getLock 1 0 
2022-05-22 22:14:45.679500 34 1 getLock 1 0 
2022-05-22 22:14:45.683842 35 1 setSaldo 1 520.0 
2022-05-22 22:14:45.687777 36 1 unLock 1 0 
2022-05-22 22:15:17.096468 37 1 getLock 1 0 
2022-05-22 22:15:17.108395 38 1 getLock 1 0 
2022-05-22 22:15:17.116515 39 1 getSaldo 1 520.0 
2022-05-22 22:15:17.120344 40 1 unLock 1 0 
2022-05-22 22:15:23.068433 41 1 getLock 2 0 
2022-05-22 22:15:23.078146 42 1 getLock 2 0 
2022-05-22 22:15:23.083308 43 1 getSaldo 2 500.0 
2022-05-22 22:15:23.088915 44 1 unLock 2 0 
